Конкурент,Линейка,Калорийность,Дней,Цена за день (руб),Общая цена (руб)
BeFit,EVERYDAILY,500 - 800 ккал,5,930,4650
BeFit,EVERYDAILY,500 - 800 ккал,7,664,4650
BeFit,DAILY,700 - 900 ккал,5,930,4650
BeFit,DAILY,700 - 900 ккал,7,664,4650
BeFit,EXTRALIGHT,800 - 1000 ккал,5,1308,6540
BeFit,EXTRALIGHT PREMIUM,800 - 1000 ккал,5,1870,9350
BeFit,EXTRALIGHT,800 - 1000 ккал,7,1290,9030
BeFit,EXTRALIGHT PREMIUM,800 - 1000 ккал,7,1747,12230
BeFit,LIGHT PREMIUM,1000 - 1200 ккал,5,1920,9600
BeFit,GLUTEN LACTO FREE,1000 - 1200 ккал,5,1570,7850
BeFit,LIGHT,1000 - 1200 ккал,5,1380,6900
BeFit,LIGHT,1000 - 1200 ккал,7,1341,9390
BeFit,GLUTEN LACTO FREE,1000 - 1200 ккал,7,1504,10530
BeFit,LIGHT PREMIUM,1000 - 1200 ккал,7,1891,13240
BeFit,VEGETARIAN,1100 - 1300 ккал,5,1380,6900
BeFit,VEGAN,1100 - 1300 ккал,5,1380,6900
BeFit,VEGETARIAN,1100 - 1300 ккал,7,1341,9390
BeFit,VEGAN,1100 - 1300 ккал,7,1341,9390
BeFit,FISH PREMIUM,1200 - 1300 ккал,5,2030,10150
BeFit,СРЕДИЗЕМ&SHY;НОМОРСКАЯ ДИЕТА,1200 - 1300 ккал,5,1640,8200
BeFit,FISH,1200 - 1300 ккал,5,1640,8200
BeFit,FISH,1200 - 1300 ккал,7,1504,10530
BeFit,FISH PREMIUM,1200 - 1300 ккал,7,2090,14630
BeFit,СРЕДИЗЕМ&SHY;НОМОРСКАЯ ДИЕТА,1200 - 1300 ккал,7,1504,10530
BeFit,NORMAL PREMIUM,1300 - 1500 ккал,5,1920,9600
BeFit,NORMAL,1300 - 1500 ккал,5,1488,7440
BeFit,NORMAL,1300 - 1500 ккал,7,1447,10130
BeFit,NORMAL PREMIUM,1300 - 1500 ккал,7,1891,13240
BeFit,ENERGY,1600 - 1800 ккал,5,1620,8100
BeFit,ENERGY,1600 - 1800 ккал,7,1500,10500
BeFit,BALANCE PREMIUM,1700 - 1800 ккал,5,2130,10650
BeFit,BALANCE,1700 - 1800 ккал,5,1680,8400
BeFit,BALANCE PREMIUM,1700 - 1800 ккал,7,2061,14430
BeFit,BALANCE,1700 - 1800 ккал,7,1641,11490
BeFit,STRONG PREMIUM,2000 - 2200 ккал,5,2170,10850
BeFit,STRONG PREMIUM,2000 - 2200 ккал,7,2032,14230
BeFit,ENERGY MAX,2100 - 2400 ккал,5,1790,8950
BeFit,STRONG,2100 - 2200 ккал,5,1680,8400
BeFit,ENERGY MAX,2100 - 2400 ккал,7,1707,11950
BeFit,STRONG,2100 - 2200 ккал,7,1642,11500
BeFit,SUPER STRONG PREMIUM,2200 - 2400 ккал,5,2340,11700
BeFit,SUPER STRONG PREMIUM,2200 - 2400 ккал,7,2114,14800
BeFit,SUPER STRONG,2300 - 2500 ккал,5,1850,9250
BeFit,SUPER STRONG,2300 - 2500 ккал,7,1750,12250
