Конкурент,Линейка,Калорийность,Дней,Цена за день (руб),Общая цена (руб)
Level Kitchen,ПРО,900 ккал,2,1650,3300
Level Kitchen,ПРО,900 ккал,5,1650,8250
Level Kitchen,ПРО,900 ккал,6,1500,9000
Level Kitchen,ПРО,900 ккал,12,1458,17500
Level Kitchen,ПРО,1200 ккал,2,1950,3900
Level Kitchen,ПРО,1200 ккал,5,1950,9750
Level Kitchen,ПРО,1200 ккал,6,1816,10900
Level Kitchen,ПРО,1200 ккал,12,1658,19900
Level Kitchen,ПРО,1500 ккал,2,2250,4500
Level Kitchen,ПРО,1500 ккал,5,2250,11250
Level Kitchen,ПРО,1500 ккал,6,2000,12000
Level Kitchen,ПРО,1500 ккал,12,1916,23000
Level Kitchen,ФИТ,750 ккал,2,1800,3600
Level Kitchen,ФИТ,750 ккал,5,1600,8000
Level Kitchen,ФИТ,750 ккал,6,1416,8500
Level Kitchen,ФИТ,750 ккал,12,1283,15400
Level Kitchen,ФИТ,750 ккал,30,1196,35900
Level Kitchen,ФИТ,1000 ккал,2,1850,3700
Level Kitchen,ФИТ,1000 ккал,5,1640,8200
Level Kitchen,ФИТ,1000 ккал,6,1483,8900
Level Kitchen,ФИТ,1000 ккал,12,1400,16800
Level Kitchen,ФИТ,1000 ккал,30,1296,38900
Level Kitchen,ФИТ,1500 ккал,2,2000,4000
Level Kitchen,ФИТ,1500 ккал,5,1780,8900
Level Kitchen,ФИТ,1500 ккал,6,1566,9400
Level Kitchen,ФИТ,1500 ккал,12,1483,17800
Level Kitchen,ФИТ,1500 ккал,30,1330,39900
Level Kitchen,ФИТ,2000 ккал,2,2150,4300
Level Kitchen,ФИТ,2000 ккал,5,1900,9500
Level Kitchen,ФИТ,2000 ккал,6,1816,10900
Level Kitchen,ФИТ,2000 ккал,12,1566,18800
Level Kitchen,ФИТ,2000 ккал,30,1396,41900
Level Kitchen,ФИТ,2500 ккал,2,2300,4600
Level Kitchen,ФИТ,2500 ккал,5,2070,10350
Level Kitchen,ФИТ,2500 ккал,6,1900,11400
Level Kitchen,ФИТ,2500 ккал,12,1650,19800
Level Kitchen,ФИТ,2500 ккал,30,1496,44900
Level Kitchen,ХИТ,900 ккал,2,1825,3650
Level Kitchen,ХИТ,900 ккал,5,1620,8100
Level Kitchen,ХИТ,900 ккал,6,1450,8700
Level Kitchen,ХИТ,900 ккал,12,1358,16300
Level Kitchen,ХИТ,900 ккал,30,1230,36900
Level Kitchen,ХИТ,1200 ккал,2,1900,3800
Level Kitchen,ХИТ,1200 ккал,5,1720,8600
Level Kitchen,ХИТ,1200 ккал,6,1533,9200
Level Kitchen,ХИТ,1200 ккал,12,1441,17300
Level Kitchen,ХИТ,1200 ккал,30,1313,39400
Level Kitchen,ХИТ,1500 ккал,2,2000,4000
Level Kitchen,ХИТ,1500 ккал,5,1780,8900
Level Kitchen,ХИТ,1500 ккал,6,1566,9400
Level Kitchen,ХИТ,1500 ккал,12,1483,17800
Level Kitchen,ХИТ,1500 ккал,30,1330,39900
Level Kitchen,ХИТ,1800 ккал,2,2100,4200
Level Kitchen,ХИТ,1800 ккал,5,1820,9100
Level Kitchen,ХИТ,1800 ккал,6,1716,10300
Level Kitchen,ХИТ,1800 ккал,12,1525,18300
Level Kitchen,ХИТ,1800 ккал,30,1363,40900
