author;date;rating;text
Мария;11 сентября 2025;1;"Очень расстроили ребята... привезли еду трехдневную, то есть, есть уже на 4 и 5 день, что для меня не подходит совершенно.

И система так построена, если оформляю возврат, то нужно…"
В🖤;8 февраля;1;"Просто катастрофа с клиентоориентированностью.
Ситуация:
Вчера с 21:00 до 23:00 мне должны были осуществить доставку, но курьер не приехал, он опаздывал……"
k.shamin;15 июля 2025;1;Вторую поставку подряд курьер опаздывает. первый раз опоздал более чем на 30 мин. Теперь пришло сообщение, что задерживаетя на 20 минут. Точность этой компании не касается. Они не ценят время клиента. Уже пережил 5 доставок. Из них 3 доставили с опозданием. Служба поддержки отнимает времени больше, чем реально помогает.
Рената Дьяконова;19 декабря 2025;1;И одной звезды много . Заказывала на 6 дней . Есть не возможно . Все не вкусное , отвратительное . Выкидывала в помойку после того как пробовала
Ивана Иванова;26 ноября 2025;1;Это самое ужасное! Операторы выходят на связь не пойми как… отменяют заказы, добавляют и переносят не уточняя информацию! Дорогие! Есть намного дешевле и вкуснее!
Владислав;9 сентября 2025;1;"*** , не возвращают деньги 
Оформил подписку и сразу же отказался от нее в виду того,что не устраивает ,что нельзя сразу на 5дней 
Деньги не хотят возвращать в полном объеме…"
Михаил Бояров;25 июля 2025;1;Не вздумайте пользоваться этим сервисом. У меня они к примеру просто отменили все доставки и отказывают в возврате средств. По телефону вообще неадекваты. Весь рацион- курица.
Вячеслав Михайлов;17 февраля 2025;1;"Еда чаще бывает вкусная, чем наоборот, но в комплектах очень много сладостей, хотелось бы поменьше сладкого и больше белка. 
Сервис отвратительный. Отменил подписку из-за опозданий курьера (то он сам опаздывает без причины, то технический сбой на складе)…"
Лусине М.;8 мая 2025;1;Не компетентные консультанты, не могут дать правильную информацию . Заказала одно, привезли другое, так я еще и виновата. Даже пробовать уже не хочется!!!
Геннадий В.;4 марта;1;Все хорошо, но доставка это конечно ужас. После 22:00 приезжают в лучшем случае и звонят в звонок, а дети спят и просыпаются. Еда хорошая, но доставка это просто ужас. Все кто в Зеленограде не советую.
Mikhail Nagovitsin;11 февраля;1;отравился их едой.
Сергей М.;12 июня 2025;1;Сняли денег больше, чем обещали! Скам!
Валерия Ребусатте;18 марта 2025;2;"Честный отзыв.

Редко пишу отзывы , но здесь не смогла пройти мимо.…"
Дарья Малкова;1 апреля;2;Сначала все ок, но потом смотришь: привозят несколько блюд со сроком годности, истекающим ровно в тот день, когда блюдо стоит в меню. Не хочется как бы рисковать здоровьем. А есть блюда, которые уже просрочены к тому моменту, когда их нужно съесть
Виктор;11 мая;2;"Мои сыновья подобрали для меня эту фирму - как крутой способ быстрого похудения.

Сама еда - на твердую тройку:)…"
Анна Б.;14 марта 2025;3;На троечку, да, удобно, что есть конструктор меню и можно выбрать блюда, но бесконечные косяки в приложении и курьеры не забирают коробки, хотя должны, часто не предупреждают о приезде или предупреждают за 5 мин, что недопустимо
Юрий;28 апреля 2025;3;Честно говоря , быстро все приедается! Сразу нужно понимать берешь на 1800 калорий, по факту 1500 получаешь , берёшь 2500 получаешь 2000 калорий.
