author;date;rating;text
Юлия;18 мая;1;Отвратительная компания ! Не доставили заказ, не дают информации никакой , полностью потеряли весь день в ожидании курьера . Отдел клиентской помощи до сих не связался , отдел логистики не связался , всем пофиг ! Я заплатила деньги , не получив при этом доставку ! Прошу…
Анна Дес Фонтейнес;9 января;1;"Категорически не рекомендую, ранее заказывала, была постоянным клиентом
НО сейчас всё сломалось, еду привозят тухлую, могут доставить из 4 позиций только 3, а могут и вообще не доставить. Дозвониться не…"
Юля;25 ноября 2025;1;Ребят, не ведитесь на красивые картинки. Если еще пару лет назад они были одними из лучших и меню соответствовало действительности, то сейчас далеко не тот уровень. То что привозят, далеко не то что у них на сайте. Меню повторяется, хотя на сайте пишут что 28 дней меню разное.…
Оксана;19 февраля;1;Ужасно разочарованы данной едой. Заказали с мужем 2 рациона по 2000 калорий. По мимо того , что еда не вкусная, так еще «Мясные» блюда содержат минимальный процент мяса. В одном из блюд доставки была целлофановая пленка (на фото) . После чего нами была принято…
Анастасия;14 марта;1;"Еда по вкусу нормальная, но все остальное - просто мрак.
1. Время доставки неудобное. У аналогичных сервисов есть возможность получения заказа вечером.
2. Постоянно срывают сроки доставки на час и более, что с учётом…"
Арина Гагарина;2 февраля;1;"Доставка: сами блюда максимально столовские 
Заказывала 2 программы себе и мужу, порции отличались по наполнению, но на контейнерах ккал был одинаковый. Было это 2 месяца назад-поддержка до сих пор…"
Екатерина Текс;16 декабря 2025;1;Отвратительная служба доставки, которая считает, что можно не звонить и как они считают задержаться на 2-5 часов. Звонишь менеджерам, они передают информацию и ты опять ждешь и сам звонишь. Получать завтрак в час дня, видимо, они считают это нормально. Не советую…
Мария Алексеевна;5 марта;1;"Заказала доставку готового питания у Level Kitchen на 30 дней. Уже с первых дней столкнулась с серьезными проблемами:
* Первая доставка опоздала на 1,5 часа.
* Вторая доставка так и не была выполнена в согласованный интервал с…"
Олег Заяц;16 апреля;1;Левел китчен очень разочаровали, наполнение питания происходит за счёт каш в разном виде, основные блюда, гарниры, и дешёвых овощей, морковь, стручковая фасоль, капуста. Качество блюд на уровне совковой столовки. При последней доставке попросил прервать заказ и вернуть…
Юлия С.;14 февраля;1;К сожалению вынуждена присоединиться к негативным отзывам о компании. Так же была довольна частым клиентом, но последний рацион,что я заказала на месяц оставляет желать лучшего. Качество мясных изделий ужасное… в добавок ко всему еще стали инородные…
Дарья К.;28 марта;1;Много лет пользовалась сервисом, была в восторге и привела много клиентов, настрочила много прекрасных отзывов. Но все поломалось: ценник растёт быстрее уровня инфляции, при этом качество блюд стало сильно хуже, как и сама программа - количество блюд на одном…
Георгий М.;4 февраля;1;Решил попробовать данный сервис и могу сказать что не рекомендую эту организацию никому. 2 дня их курьеры попадают в аварии и не могут привезти уже оплаченный заказ. Сам сервис не звонит, приходится дозваниваться по 10 минут. Курьер о существовании телефона видимо…
Лидия;9 мая;1;"Очень разочарована работой службы доставки питания. 
Заказ должен был приехать 9 мая с 8 до 10 утра, с питанием на 3 дня, но его не привозят. При этом ни курьер, ни служба поддержки не выходили на связь — ни по телефону, ни в мессенджере.…"
Светлана П.;8 января;1;Не вкусно. На картинке все эстетично, аппетитно. По факту-ужас. Есть невозможно. Заказала доставку на 12 дней, 3 отменила, не стала больше себя мучать) возврат должен был поступить 29 декабря. До сих пор ничего нет. Оператор игнорирует, на вопросы ни в чате, ни в…
ANIKA B.;23 марта;1;Мы уходим на работу и отводить детей в школу ровно в 8 утра. Интервал стоит с 6-8. Заказали 3 рациона, каждый на 12 дней. Из 4х доставок - 3 было не вовремя...и мы оставались без еды на целый день. Все 3 раза я объясняла как нам важна еда во время и все 3раза извинялись и обещали…
Анна Демешкина;28 февраля;1;Не советую заказывать здесь. Все приезжает не свежее, на следущий день половина на выброс, макароны переварены, все пресное, безвкусное. Салат в их понимании - 1 кусочек курицы, 2 дольки помидора. Продукты дешевые, помидоры пластмассовые. По телефону вместо решения вопросов - начали спорить.
Маруся;1 февраля;1;Отвратительно! Деньги берут, а на доставки забивают! Должны осуществлять каждые два дня, а осуществляют раз в неделю на два дня! И даже не сообщают, что доставки не будет. Так еще и еда не качественная! Получили отравление! Деньги не возвращают! Дозвониться до…
Ксандопуло Эмилия;9 января;1;Заказывала себе еду на 6 дней. В итоге поела только 3 порции из них, а остальное по разным причинам не довезли. Несколько раз давала им шанс исправиться - каждый раз одно и то же, ладали. А дело было в ноябре. Даже не в декабре, когда суета несусветная.…
Юлия Рогачева;20 апреля;1;"Первый сделала заказ, на неделю, 
первый день не привезли, 3 часа выяснения ситуации и перезвонил курьер и сказал что отвез их постоянному клиенту, и готов забрать из его холодилтника и привезти мне, очень удивлся что я отказалсь……"
А Пп;22 января;1;Раньше всё было супер. На сегодняшний день, явное отсутствие клиентоориентированности. Сайт не загружается (обратный звонок не доступен), до службы поддержки не дозвониться, срыв доставок , не полноценная доставка по наименованию (отсутствие лотков)…
Мария Б.;10 марта;1;Ужасное впечатление от сервиса и работы поддержки. Случился форс-мажор, надо было уехать. Написала в поддержку практически за сутки с просьбой перенести адрес / перенести доставку. Целый день поддержка игнорировала меня. Привезли еду, полагаю, к пустой квартире. Потом…
Ольга С.;23 ноября 2025;1;Последний раз заказываю у них. Ни какой клиентоориетировности, уровень сервиса ноль, уровень доставки -постоянно опаздывают, для чего выбирается интервал времени ?! Еда не вкусная абсолютно . Не тратьте деньги и не заказывайте у них ! Есть куча других аналогов , у кого…
Наталья;6 января;1;Полный сбой поставок без предупреждения и практически отсутствие обратной связи. Праздники, понятно. Но взять и молча прекратить поставку, а потом согласовать новую дату и опять ничего не привезти это уже слишком. Так кухня вполне приемлема, бывают как вкусные так и…
Anna I.;4 апреля;2;"Редко пишу отзывы, но тут накипело. За последние 2 недели 3 раза опоздали и именно тогда, когда вообще нельзя было опаздывать (Нижний Новгород)!
Последняя ситуация ""машина приехала в город на 2 часа позже"". Заказ был до 11, а в 11.30 сказали привезут в течение 2х часов. Вот и сиди весь день жди. И пока сам не начнешь разбираться, никто не предупредит.
Только один курьер из 3-4 звонит за 15 минут, чтобы предупредить.
Некоторые блюда вообще не вкусные. Овсяная каша из самой дешёвой овсянки, сосиски как бумага, большинство супов - вода. Ожидание реальность, на фото.
Видимо такая проблема не только у меня и что то у них пошло не так. Как обычно раскрутились, набрали кучу клиентов и не справляются.
Не часто заказывала, но и наверное больше не буду."
Иван Грозный;4 марта;2;Заказывал 3 раза (ближайшее подмосковье) и каждый раз сталкивался с несвоевременной доставкой! Объяснял менеджеру что для меня очень важно привозить вовремя и что готов за это платить отдельно курьеру, но воз и ныне там. Опоздать могут и часа на три-четыре и более, поэтому…
